date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-05-14,26℃,18℃,多云~阴,东南风,3-4级,73,良,2
2016-05-15,23℃,14℃,大雨~小雨,西北风,微风,51,良,2
2016-05-16,24℃,12℃,晴,西南风,微风,69,良,2
2016-05-17,26℃,12℃,阴,东南风,微风,62,良,2
2016-05-18,26℃,15℃,多云,东风,微风,64,良,2
2016-05-19,26℃,18℃,多云~阴,东风,3-4级,101,轻度污染,3
2016-05-20,25℃,19℃,小雨,东风,微风,55,良,2
2016-05-21,21℃,19℃,中雨~小雨,东北风,微风,33,优,1
2016-05-22,23℃,18℃,阴,西风,3-4级,51,良,2
2016-05-23,27℃,18℃,阴~小雨,西南风,微风,68,良,2
2016-05-24,26℃,18℃,小雨~阴,东南风,微风,104,轻度污染,3
2016-05-25,29℃,21℃,阴~小雨,东南风,微风,111,轻度污染,3
2016-05-26,25℃,19℃,小雨,西北风,微风,120,轻度污染,3
2016-05-27,23℃,19℃,小雨,东风,微风,69,良,2
2016-05-28,23℃,20℃,小雨,北风,微风,65,良,2
2016-05-29,25℃,17℃,小雨~多云,西北风,微风,87,良,2
2016-05-30,27℃,19℃,阴~多云,东南风,微风,121,轻度污染,3
2016-05-31,30℃,21℃,小雨,东风,微风,112,轻度污染,3
2016-06-01,22℃,17℃,小雨~阴,东北风,微风,65,良,2
2016-06-02,26℃,19℃,多云~阵雨,东风,1-2级,76,良,2
2016-06-03,21℃,18℃,小雨,东南风,1-2级,47,优,1
2016-06-04,23℃,17℃,小雨~阴,西北风,1-2级,49,优,1
2016-06-05,27℃,18℃,小雨~晴,东南风,1-2级,57,良,2
2016-06-06,28℃,20℃,小雨,东风,1-2级,78,良,2
2016-06-07,27℃,20℃,小雨,东北风,1-2级,91,良,2
2016-06-08,26℃,19℃,小雨~多云,东北风,1-2级,74,良,2
2016-06-09,26℃,19℃,小雨~阴,东风,1-2级,68,良,2
2016-06-10,29℃,22℃,小雨~阴,东南风,1-2级,65,良,2
2016-06-11,29℃,22℃,小雨,南风,1-2级,75,良,2
2016-06-12,23℃,19℃,小雨~阴,东北风,1-2级,44,优,1
2016-06-13,29℃,20℃,多云~阴,东南风,1-2级,70,良,2
2016-06-14,31℃,23℃,多云~阴,东南风,1-2级,70,良,2
2016-06-15,31℃,22℃,小雨,西南风,1-2级,82,良,2
2016-06-16,28℃,20℃,小雨~晴,西南风,1-2级,112,轻度污染,3
2016-06-17,30℃,21℃,晴,东南风,1-2级,96,良,2
2016-06-18,32℃,24℃,阴~雷阵雨,南风,3-4级,60,良,2
2016-06-19,32℃,24℃,小雨~中雨,西南风,1-2级,31,优,1
2016-06-20,30℃,25℃,小雨,西南风,1-2级,23,优,1
2016-06-21,32℃,27℃,小雨~中雨,西南风,1-2级,76,良,2
2016-06-22,31℃,26℃,小雨,西风,1-2级,51,良,2
2016-06-23,33℃,27℃,小雨,南风,1-2级,59,良,2
2016-06-24,28℃,21℃,小雨,西北风,1-2级,66,良,2
2016-06-25,24℃,18℃,小雨~多云,西南风,1-2级,40,优,1
2016-06-26,27℃,21℃,多云~小雨,东南风,1-2级,56,良,2
