date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-04-28,26℃,13℃,多云,南风,3-4级,117,轻度污染,3
2016-04-29,28℃,15℃,多云~晴,无持续风向,微风,152,中度污染,4
2016-04-30,31℃,15℃,晴~多云,无持续风向,微风,205,重度污染,5
2016-05-01,32℃,19℃,霾~雷阵雨,无持续风向,微风,246,重度污染,5
2016-05-02,22℃,12℃,阵雨~多云,北风,3-4级,84,良,2
2016-05-03,27℃,10℃,晴,北风,4-5级,55,良,2
2016-05-04,28℃,15℃,多云~阵雨,无持续风向,微风,54,良,2
2016-05-05,27℃,16℃,多云~晴,北风,4-5级,78,良,2
2016-05-06,25℃,13℃,晴,北风,4-5级,130,轻度污染,3
2016-05-07,26℃,13℃,晴,无持续风向,微风,44,优,1
2016-05-08,27℃,15℃,晴~阴,南风,3-4级,92,良,2
2016-05-09,21℃,12℃,小雨~多云,无持续风向,微风,58,良,2
2016-05-10,27℃,16℃,晴~多云,无持续风向,微风,60,良,2
2016-05-11,29℃,18℃,多云~雷阵雨,无持续风向,微风,187,中度污染,4
2016-05-12,23℃,9℃,多云~晴,北风,4-5级,68,良,2
2016-05-13,25℃,14℃,晴~阵雨,无持续风向,微风,55,良,2
2016-05-14,15℃,11℃,阵雨~阴,无持续风向,微风,56,良,2
2016-05-15,24℃,9℃,多云~晴,无持续风向,4-5级,55,良,2
2016-05-16,29℃,16℃,晴,南风,3-4级,52,良,2
2016-05-17,31℃,17℃,晴,无持续风向,微风,90,良,2
2016-05-18,28℃,18℃,晴~多云,无持续风向,微风,91,良,2
2016-05-19,29℃,15℃,晴,无持续风向,微风,124,轻度污染,3
2016-05-20,30℃,15℃,霾,无持续风向,微风,124,轻度污染,3
2016-05-21,30℃,15℃,霾,无持续风向,微风,105,轻度污染,3
2016-05-22,29℃,18℃,晴,无持续风向,微风,83,良,2
2016-05-23,23℃,13℃,阵雨,无持续风向,微风,105,轻度污染,3
2016-05-24,29℃,18℃,多云~阴,南风,3-4级,50,优,1
2016-05-25,30℃,17℃,多云~晴,南风,3-4级,36,优,1
2016-05-26,30℃,16℃,晴,北风,4-5级,50,优,1
2016-05-27,32℃,18℃,晴,南风,3-4级,78,良,2
2016-05-28,30℃,18℃,多云~晴,无持续风向,微风,85,良,2
2016-05-29,31℃,17℃,晴,北风,3-4级,63,良,2
2016-05-30,34℃,23℃,多云,无持续风向,微风,116,轻度污染,3
2016-05-31,29℃,17℃,阴~多云,无持续风向,微风,93,良,2
2016-06-01,30℃,18℃,多云~晴,无持续风向,微风,66,良,2
2016-06-02,31℃,20℃,晴~多云,南风,3-4级,92,良,2
2016-06-03,29℃,19℃,阴,无持续风向,微风,110,轻度污染,3
2016-06-04,29℃,19℃,阴,无持续风向,微风,125,轻度污染,3
2016-06-05,30℃,18℃,阴~多云,无持续风向,微风,108,轻度污染,3
2016-06-06,31℃,20℃,多云~雷阵雨,无持续风向,微风,116,轻度污染,3
2016-06-07,25℃,16℃,阵雨~晴,无持续风向,微风,80,良,2
2016-06-08,31℃,19℃,多云,无持续风向,微风,155,中度污染,4
2016-06-09,32℃,21℃,多云~雷阵雨,南风,3-4级,163,中度污染,4
2016-06-10,32℃,20℃,雷阵雨~多云,北风,3-4级,77,良,2
2016-06-11,30℃,18℃,晴~多云,北风,3-4级,32,优,1
2016-06-12,32℃,20℃,多云~阴,无持续风向,微风,105,轻度污染,3
2016-06-13,25℃,18℃,雷阵雨~中到大雨,无持续风向,微风,64,良,2
2016-06-14,24℃,18℃,雷阵雨~阵雨,无持续风向,微风,53,良,2
2016-06-15,30℃,17℃,晴,无持续风向,微风,40,优,1
2016-06-16,34℃,22℃,晴~多云,无持续风向,微风,51,良,2
2016-06-17,32℃,19℃,多云~雷阵雨,无持续风向,微风,50,优,1
2016-06-18,32℃,21℃,多云~晴,无持续风向,微风,73,良,2
2016-06-19,34℃,24℃,多云~雷阵雨,无持续风向,微风,97,良,2
2016-06-20,33℃,22℃,雷阵雨,无持续风向,微风,132,轻度污染,3
2016-06-21,32℃,23℃,雷阵雨,无持续风向,微风,120,轻度污染,3
2016-06-22,35℃,24℃,雷阵雨~多云,无持续风向,微风,79,良,2
2016-06-23,35℃,20℃,雷阵雨~阴,无持续风向,微风,110,轻度污染,3
2016-06-24,32℃,20℃,多云,北风,3-4级,36,优,1
2016-06-25,35℃,22℃,晴,无持续风向,微风,35,优,1
2016-06-26,36℃,24℃,晴~阴,无持续风向,微风,73,良,2
2016-06-27,33℃,21℃,雷阵雨,无持续风向,微风,84,良,2
2016-06-28,27℃,20℃,雷阵雨,无持续风向,微风,78,良,2
2016-06-29,29℃,22℃,雷阵雨~阴,无持续风向,微风,147,轻度污染,3
2016-06-30,31℃,22℃,雷阵雨,无持续风向,微风,95,良,2
2016-07-01,31℃,21℃,晴~多云,无持续风向,微风,38,优,1
2016-07-02,32℃,21℃,晴~多云,无持续风向,微风,75,良,2
2016-07-03,32℃,23℃,雷阵雨~多云,无持续风向,微风,105,轻度污染,3
2016-07-04,30℃,20℃,阴~多云,无持续风向,微风,172,中度污染,4
2016-07-05,32℃,21℃,霾,无持续风向,微风,124,轻度污染,3
2016-07-06,32℃,22℃,霾,无持续风向,微风,112,轻度污染,3
2016-07-07,33℃,23℃,晴~霾,无持续风向,微风,145,轻度污染,3
2016-07-08,32℃,24℃,多云,无持续风向,微风,124,轻度污染,3
2016-07-09,34℃,25℃,多云~霾,无持续风向,微风,108,轻度污染,3
2016-07-10,36℃,26℃,多云~霾,无持续风向,微风,131,轻度污染,3
