date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-05-07,26℃,12℃,晴,无持续风向,微风,44,优,1
2016-05-08,27℃,15℃,晴~阴,南风,3-4级,106,轻度污染,3
2016-05-09,28℃,12℃,阴~多云,西北风,微风,63,良,2
2016-05-10,27℃,16℃,晴~多云,无持续风向,微风,62,良,2
2016-05-11,29℃,18℃,多云~雷阵雨,无持续风向,微风,191,中度污染,4
2016-05-12,24℃,6℃,阴,西北风,微风,66,良,2
2016-05-13,25℃,14℃,晴~阵雨,无持续风向,微风,69,良,2
2016-05-14,16℃,10℃,小雨,无持续风向,微风,61,良,2
2016-05-15,25℃,8℃,阴~晴,西北风,微风,53,良,2
2016-05-16,34℃,13℃,晴,西南风,微风,83,良,2
2016-05-17,35℃,17℃,多云~晴,南风,微风,90,良,2
2016-05-18,29℃,18℃,晴~多云,无持续风向,微风,83,良,2
2016-05-19,33℃,12℃,阴,南风,微风,112,轻度污染,3
2016-05-20,30℃,15℃,霾,无持续风向,微风,115,轻度污染,3
2016-05-21,30℃,15℃,霾,无持续风向,微风,98,良,2
2016-05-22,30℃,17℃,阴,东风,微风,72,良,2
2016-05-23,25℃,12℃,小雨,南风,微风,107,轻度污染,3
2016-05-24,30℃,16℃,多云~小雨,西风,微风,47,优,1
2016-05-25,30℃,16℃,多云~晴,南风,3-4级,35,优,1
2016-05-26,30℃,15℃,晴~阴,西北风,微风,52,良,2
2016-05-27,32℃,14℃,阴,南风,微风,87,良,2
2016-05-28,33℃,19℃,阴~晴,南风,微风,69,良,2
2016-05-29,32℃,17℃,晴,北风,微风,62,良,2
2016-05-30,38℃,22℃,阴,南风,微风,123,轻度污染,3
2016-05-31,30℃,16℃,阴~多云,东南风,微风,84,良,2
2016-06-01,32℃,17℃,多云~阴,南风,微风,59,良,2
2016-06-02,32℃,19℃,晴~多云,南风,3-4级,72,良,2
2016-06-03,31℃,18℃,阴,南风,1-2级,105,轻度污染,3
2016-06-04,32℃,17℃,阴,南风,1-2级,109,轻度污染,3
2016-06-05,33℃,16℃,晴,南风,1-2级,97,良,2
2016-06-06,33℃,19℃,晴~小雨,南风,1-2级,130,轻度污染,3
2016-06-07,28℃,16℃,小雨~晴,南风,1-2级,86,良,2
2016-06-08,34℃,19℃,多云,南风,1-2级,190,中度污染,4
2016-06-09,36℃,23℃,多云~小雨,南风,1-2级,149,轻度污染,3
2016-06-10,36℃,21℃,多云,西北风,1-2级,87,良,2
2016-06-11,32℃,19℃,阴,西北风,1-2级,31,优,1
2016-06-12,33℃,20℃,多云~小雨,南风,1-2级,99,良,2
2016-06-13,32℃,19℃,小雨~中雨,东南风,1-2级,79,良,2
2016-06-14,25℃,18℃,阴~小雨,东北风,1-2级,56,良,2
2016-06-15,31℃,19℃,多云,北风,1-2级,56,良,2
2016-06-16,35℃,21℃,多云~阴,西风,1-2级,56,良,2
2016-06-17,34℃,19℃,阴~多云,北风,1-2级,56,良,2
2016-06-18,32℃,21℃,多云~晴,无持续风向,微风,56,良,2
2016-06-19,37℃,24℃,阴~小雨,南风,1-2级,56,良,2
2016-06-20,37℃,22℃,阴,南风,1-2级,56,良,2
2016-06-21,36℃,23℃,阴~多云,南风,1-2级,56,良,2
2016-06-22,38℃,23℃,多云~阴,南风,1-2级,56,良,2
2016-06-23,36℃,22℃,阴~晴,西北风,1-2级,104,轻度污染,3
2016-06-24,34℃,21℃,多云~晴,北风,1-2级,40,优,1
2016-06-25,37℃,22℃,多云~阴,北风,1-2级,17,优,1
2016-06-26,38℃,24℃,阴,南风,1-2级,31,优,1
2016-06-27,33℃,20℃,小雨,东北风,1-2级,76,良,2
