date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-02-29,2℃,-5℃,阵雪~晴,西北风,6-7级,42,优,1
2016-03-01,9℃,-4℃,多云~晴,西南风,4-5级,56,良,2
2016-03-02,16℃,3℃,晴,西南风,3-4级,104,轻度污染,3
2016-03-03,18℃,7℃,晴~多云,西南风,5-6级,136,轻度污染,3
2016-03-04,18℃,6℃,多云~阵雨,南风,4-5级,96,良,2
2016-03-05,10℃,0℃,小雨~晴,西北风,5-6级,94,良,2
2016-03-06,12℃,4℃,晴~多云,西北风,4-5级,153,中度污染,4
2016-03-07,12℃,0℃,多云,北风,3-4级,95,良,2
2016-03-08,3℃,-3℃,阴,北风,6-7级,47,优,1
2016-03-09,2℃,-4℃,多云~阴,北风,5-6级,37,优,1
2016-03-10,2℃,-4℃,晴,西北风,4-5级,48,优,1
2016-03-11,7℃,-2℃,晴,西北风,3-4级,67,良,2
2016-03-12,11℃,1℃,多云~阵雨,南风,3-4级,105,轻度污染,3
2016-03-13,8℃,-1℃,中雨~多云,南风,4-5级,90,良,2
2016-03-14,10℃,3℃,晴,西南风,3-4级,81,良,2
2016-03-15,12℃,3℃,晴~多云,西南风,3-4级,63,良,2
2016-03-16,15℃,4℃,晴~多云,西南风,3-4级,51,良,2
2016-03-17,18℃,7℃,多云,南风,5-6级,59,良,2
2016-03-18,17℃,4℃,晴,南风,4-5级,82,良,2
2016-03-19,10℃,3℃,多云~晴,东北风,3-4级,70,良,2
2016-03-20,10℃,3℃,多云~晴,东北风,3-4级,64,良,2
2016-03-21,14℃,6℃,晴~阴,南风,3-4级,94,良,2
2016-03-22,10℃,4℃,晴~多云,北风,4-5级,115,轻度污染,3
2016-03-23,8℃,2℃,晴~多云,东北风,5-6级,50,优,1
2016-03-24,9℃,2℃,晴~多云,北风,4-5级,44,优,1
2016-03-25,10℃,2℃,晴~多云,北风,4-5级,47,优,1
2016-03-26,12℃,4℃,晴,西北风,3-4级,86,良,2
2016-03-27,16℃,6℃,晴,西北风,3-4级,91,良,2
2016-03-28,22℃,10℃,晴~阴,西南风,5-6级,94,良,2
2016-03-29,14℃,7℃,多云~晴,西北风,4-5级,76,良,2
2016-03-30,16℃,9℃,多云~晴,东北风,3-4级,73,良,2
2016-03-31,22℃,10℃,多云~晴,西南风,4-5级,54,良,2
2016-04-01,22℃,8℃,阴,南风,5-6级,96,良,2
2016-04-02,12℃,7℃,多云~阴,东北风,5-6级,82,良,2
2016-04-03,12℃,3℃,多云~晴,东北风,3-4级,52,良,2
2016-04-04,16℃,8℃,晴,南风,3-4级,66,良,2
2016-04-05,20℃,9℃,晴~多云,南风,3-4级,108,轻度污染,3
2016-04-06,19℃,9℃,阴~多云,东南风,4-5级,73,良,2
2016-04-07,17℃,8℃,阴~多云,北风,4-5级,94,良,2
2016-04-08,21℃,11℃,晴,西南风,3-4级,102,轻度污染,3
2016-04-09,19℃,8℃,晴,西南风,3-4级,149,轻度污染,3
2016-04-10,14℃,7℃,晴,东北风,5-6级,88,良,2
2016-04-11,16℃,9℃,晴~多云,东风,3-4级,50,优,1
2016-04-12,18℃,11℃,多云~阴,南风,5-6级,57,良,2
2016-04-13,21℃,10℃,晴,南风,4-5级,73,良,2
2016-04-14,17℃,9℃,晴,北风,3-4级,89,良,2
2016-04-15,22℃,10℃,多云,南风,4-5级,69,良,2
2016-04-16,14℃,8℃,小到中雨~阴,东南风,5-6级,44,优,1
2016-04-17,14℃,8℃,多云~晴,北风,5-6级,51,良,2
2016-04-18,17℃,6℃,阵雨~晴,西北风,5-6级,59,良,2
2016-04-19,20℃,11℃,晴~多云,南风,3-4级,56,良,2
2016-04-20,18℃,9℃,多云,南风,5-6级,53,良,2
2016-04-21,24℃,12℃,晴,西南风,4-5级,93,良,2
2016-04-22,16℃,9℃,多云,北风,4-5级,167,中度污染,4
2016-04-23,17℃,10℃,晴~多云,西北风,3-4级,249,重度污染,5
2016-04-24,22℃,12℃,多云~晴,东南风,3-4级,204,重度污染,5
2016-04-25,24℃,12℃,晴~多云,南风,3-4级,117,轻度污染,3
2016-04-26,21℃,11℃,多云,东南风,3-4级,85,良,2
2016-04-27,17℃,10℃,多云,东北风,3-4级,103,轻度污染,3
2016-04-28,18℃,9℃,多云~晴,北风,4-5级,76,良,2
2016-04-29,24℃,15℃,晴~多云,南风,4-5级,75,良,2
2016-04-30,28℃,19℃,多云,西南风,5-6级,91,良,2
2016-05-01,31℃,16℃,多云~阵雨,南风,5-6级,87,良,2
2016-05-02,23℃,12℃,雷阵雨~小到中雨,南风,5-6级,52,良,2
2016-05-03,15℃,12℃,雷阵雨~多云,西北风,6-7级,39,优,1
2016-05-04,22℃,14℃,晴~多云,西北风,4-5级,55,良,2
2016-05-05,24℃,12℃,雷阵雨,南风,5-6级,60,良,2
2016-05-06,19℃,10℃,多云,西北风,5-6级,130,轻度污染,3
2016-05-07,20℃,11℃,多云~晴,北风,4-5级,58,良,2
2016-05-08,22℃,13℃,晴~多云,南风,3-4级,63,良,2
2016-05-09,19℃,13℃,小雨~多云,南风,3-4级,48,优,1
2016-05-10,20℃,12℃,晴,西北风,3-4级,69,良,2
2016-05-11,28℃,16℃,晴~多云,南风,3-4级,89,良,2
2016-05-12,26℃,9℃,雷阵雨~阵雨,南风,5-6级,81,良,2
2016-05-13,18℃,12℃,晴,东南风,3-4级,46,优,1
2016-05-14,22℃,11℃,晴~中到大雨,南风,3-4级,55,良,2
2016-05-15,15℃,11℃,中雨~晴,西北风,4-5级,44,优,1
2016-05-16,24℃,14℃,晴,西风,4-5级,57,良,2
2016-05-17,28℃,16℃,晴,南风,3-4级,67,良,2
2016-05-18,26℃,14℃,晴,南风,4-5级,54,良,2
2016-05-19,27℃,16℃,晴,东南风,3-4级,56,良,2
2016-05-20,26℃,15℃,晴,东南风,3-4级,60,良,2
2016-05-21,24℃,15℃,晴,东北风,3-4级,65,良,2
2016-05-22,24℃,16℃,多云,东南风,3-4级,69,良,2
2016-05-23,20℃,13℃,雷阵雨~阵雨,东南风,4-5级,63,良,2
2016-05-24,24℃,17℃,多云~晴,西风,4-5级,80,良,2
2016-05-25,27℃,15℃,多云,西南风,4-5级,66,良,2
2016-05-26,26℃,16℃,晴~多云,西北风,3-4级,72,良,2
2016-05-27,27℃,17℃,晴~多云,南风,3-4级,91,良,2
2016-05-28,24℃,16℃,多云~阴,南风,3-4级,112,轻度污染,3
2016-05-29,24℃,16℃,晴,南风,3-4级,76,良,2
2016-05-30,32℃,17℃,晴~多云,西南风,4-5级,107,轻度污染,3
2016-05-31,24℃,16℃,多云,东北风,5-6级,69,良,2
2016-06-01,23℃,16℃,晴,东北风,3-4级,44,优,1
2016-06-02,26℃,18℃,晴,北风,3-4级,63,良,2
2016-06-03,28℃,17℃,多云,南风,3-4级,47,优,1
2016-06-04,24℃,16℃,阴~多云,东南风,3-4级,37,优,1
2016-06-05,23℃,17℃,多云,东北风,3-4级,44,优,1
2016-06-06,25℃,16℃,多云~阴,南风,3-4级,46,优,1
2016-06-07,25℃,18℃,阴,北风,3-4级,51,良,2
2016-06-08,27℃,17℃,晴,南风,3-4级,65,良,2
2016-06-09,28℃,19℃,晴,南风,3-4级,70,良,2
2016-06-10,29℃,19℃,多云~阵雨,南风,5-6级,41,优,1
2016-06-11,28℃,17℃,阵雨~多云,西南风,4-5级,55,良,2
2016-06-12,26℃,17℃,晴~多云,东北风,3-4级,54,良,2
2016-06-13,29℃,19℃,多云~阴,东南风,4-5级,52,良,2
2016-06-14,23℃,18℃,中雨~中到大雨,南风,5-6级,48,优,1
2016-06-15,21℃,17℃,阵雨~多云,西北风,4-5级,50,优,1
